Problem:    part
    31 asignado[AV1,P3,S4]
                    *              0             0             1 
    32 asignado[AV1,P3,S5]
                    *              0             0             1 
    33 asignado[AV1,P3,S6]
                    *              0             0             1 
    34 asignado[AV1,P4,S1]
                    *              0             0             1 
    35 asignado[AV1,P4,S2]
                    *              0             0             1 
    36 asignado[AV1,P4,S3]
                    *              0             0             1 
    37 asignado[AV1,P4,S4]
                    *              0             0             1 
    38 asignado[AV1,P4,S5]
                    *              0             0             1 
    39 asignado[AV1,P4,S6]
                    *              0             0             1 
    40 asignado[AV2,P1,S1]
                    *              0             0             1 
    41 asignado[AV2,P1,S2]
                    *              0             0             1 
    42 asignado[AV2,P1,S3]
                    *              0             0             1 
    43 asignado[AV2,P1,S4]
                    *              0             0             1 
    44 asignado[AV2,P1,S5]
                    *              0             0             1 
    45 asignado[AV2,P1,S6]
                    *              0             0             1 
    46 asignado[AV2,P2,S1]
                    *              0             0             1 
    47 asignado[AV2,P2,S2]
                    *              0             0             1 
    48 asignado[AV2,P2,S3]
                    *              0             0             1 
    49 asignado[AV2,P2,S4]
                    *              0             0             1 
    50 asignado[AV2,P2,S5]
                    *              0             0             1 
    51 asignado[AV2,P2,S6]
                    *              0             0             1 
    52 asignado[AV2,P3,S1]
                    *              0             0             1 
    53 asignado[AV2,P3,S2]
                    *              0             0             1 
    54 asignado[AV2,P3,S3]
                    *              0             0             1 
    55 asignado[AV2,P3,S4]
                    *              0             0             1 
    56 asignado[AV2,P3,S5]
                    *              0             0             1 
    57 asignado[AV2,P3,S6]
                    *              0             0             1 
    58 asignado[AV2,P4,S1]
                    *              1             0             1 
    59 asignado[AV2,P4,S2]
                    *              0             0             1 
    60 asignado[AV2,P4,S3]
                    *              0             0             1 
    61 asignado[AV2,P4,S4]
                    *              0             0             1 
    62 asignado[AV2,P4,S5]
                    *              0             0             1 
    63 asignado[AV2,P4,S6]
                    *              0             0             1 
    64 asignado[AV3,P1,S1]
                    *              0             0             1 
    65 asignado[AV3,P1,S2]
                    *              0             0             1 
    66 asignado[AV3,P1,S3]
                    *              0             0             1 
    67 asignado[AV3,P1,S4]
                    *              0             0             1 
    68 asignado[AV3,P1,S5]
                    *              0             0             1 
    69 asignado[AV3,P1,S6]
                    *              0             0             1 
    70 asignado[AV3,P2,S1]
                    *              0             0             1 
    71 asignado[AV3,P2,S2]
                    *              0             0             1 
    72 asignado[AV3,P2,S3]
                    *              0             0             1 
    73 asignado[AV3,P2,S4]
                    *              1             0             1 
    74 asignado[AV3,P2,S5]
                    *              0             0             1 
    75 asignado[AV3,P2,S6]
                    *              0             0             1 
    76 asignado[AV3,P3,S1]
                    *              0             0             1 
    77 asignado[AV3,P3,S2]
                    *              0             0             1 
    78 asignado[AV3,P3,S3]
                    *              0             0             1 
    79 asignado[AV3,P3,S4]
                    *              0             0             1 
    80 asignado[AV3,P3,S5]
                    *              0             0             1 
    81 asignado[AV3,P3,S6]
                    *              0             0             1 
    82 asignado[AV3,P4,S1]
                    *              0             0             1 
    83 asignado[AV3,P4,S2]
                    *              0             0             1 
    84 asignado[AV3,P4,S3]
                    *              0             0             1 
    85 asignado[AV3,P4,S4]
                    *              0             0             1 
    86 asignado[AV3,P4,S5]
                    *              0             0             1 
    87 asignado[AV3,P4,S6]
                    *              0             0             1 
    88 asignado[AV4,P1,S1]
                    *              0             0             1 
    89 asignado[AV4,P1,S2]
                    *              0             0             1 
    90 asignado[AV4,P1,S3]
                    *              0             0             1 
    91 asignado[AV4,P1,S4]
                    *              0             0             1 
    92 asignado[AV4,P1,S5]
                    *              1             0             1 
    93 asignado[AV4,P1,S6]
                    *              0             0             1 
    94 asignado[AV4,P2,S1]
                    *              0             0             1 
    95 asignado[AV4,P2,S2]
                    *              0             0             1 
    96 asignado[AV4,P2,S3]
                    *              0             0             1 
    97 asignado[AV4,P2,S4]
                    *              0             0             1 
    98 asignado[AV4,P2,S5]
                    *              0             0             1 
    99 asignado[AV4,P2,S6]
                    *              0             0             1 
   100 asignado[AV4,P3,S1]
                    *              0             0             1 
   101 asignado[AV4,P3,S2]
                    *              0             0             1 
   102 asignado[AV4,P3,S3]
                    *              0             0             1 
   103 asignado[AV4,P3,S4]
                    *              0             0             1 
   104 asignado[AV4,P3,S5]
                    *              0             0             1 
   105 asignado[AV4,P3,S6]
                    *              0             0             1 
   106 asignado[AV4,P4,S1]
                    *              0             0             1 
   107 asignado[AV4,P4,S2]
                    *              0             0             1 
   108 asignado[AV4,P4,S3]
                    *              0             0             1 
   109 asignado[AV4,P4,S4]
                    *              0             0             1 
   110 asignado[AV4,P4,S5]
                    *              0             0             1 
   111 asignado[AV4,P4,S6]
                    *              0             0             1 
   112 asignado[AV5,P1,S1]
                    *              0             0             1 
   113 asignado[AV5,P1,S2]
                    *              0             0             1 
   114 asignado[AV5,P1,S3]
                    *              0             0             1 
   115 asignado[AV5,P1,S4]
                    *              0             0             1 
   116 asignado[AV5,P1,S5]
                    *              0             0             1 
   117 asignado[AV5,P1,S6]
                    *              0             0             1 
   118 asignado[AV5,P2,S1]
                    *              0             0             1 
   119 asignado[AV5,P2,S2]
                    *              0             0             1 
   120 asignado[AV5,P2,S3]
                    *              0             0             1 
   121 asignado[AV5,P2,S4]
                    *              0             0             1 
   122 asignado[AV5,P2,S5]
                    *              0             0             1 
   123 asignado[AV5,P2,S6]
                    *              0             0             1 
   124 asignado[AV5,P3,S1]
                    *              0             0             1 
   125 asignado[AV5,P3,S2]
                    *              0             0             1 
   126 asignado[AV5,P3,S3]
                    *              0             0             1 
   127 asignado[AV5,P3,S4]
                    *              0             0             1 
   128 asignado[AV5,P3,S5]
                    *              0             0             1 
   129 asignado[AV5,P3,S6]
                    *              0             0             1 
   130 asignado[AV5,P4,S1]
                    *              0             0             1 
   131 asignado[AV5,P4,S2]
                    *              0             0             1 
   132 asignado[AV5,P4,S3]
                    *              0             0             1 
   133 asignado[AV5,P4,S4]
                    *              0             0             1 
   134 asignado[AV5,P4,S5]
                    *              0             0             1 
   135 asignado[AV5,P4,S6]
                    *              1             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

End of output
